name,product_id,price,brand,age,images,color,shoes sizes
adidas Originals Men's 2K Boost White Sneaker,060601ACSH4," R 2,799.95",Adidas,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59109725.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59109725_01.jpg']]",White,"['6', '7', '8', '9', '10', '11']"
adidas Originals Men's ZX 2K Boost Black Sneaker,060601ACSI5," R 2,799.95",Adidas,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59110148.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59110148_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Nike Men's Air Force 1 '07 LV8 Blue Sneaker,060601ACAC2," R 1,999.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626001.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626001_01.jpg']]",Blue,"['6', '7', '8', '9', '10', '11']"
adidas Originals Men's NMD_R1 White Sneaker,060601ACSJ4," R 2,799.95",Adidas,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59110360.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59110360_01.jpg']]",White,"['6', '7', '8', '9', '10', '11']"
adidas Originals Men's Stan Smith Black Sneaker,060601ACSI6," R 1,499.95",Adidas,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59110154.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59110154_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Reebok Men's Classic Leather Green Sneaker,060601ACSP6," R 1,599.95",Reebok,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59113360.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59113360_01.jpg']]",Green,"['6', '7', '8', '9', '10', '11']"
Jordan Men's Zion 1 Black Sneaker,060601ACKF8," R 2,199.95",Jordan,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57741341.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57741341_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Nike Men's Air Force 1 '07 LV8 White Sneaker,060601ACAC9," R 1,999.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626275.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626275_01.jpg']]",White,"['6', '7', '8', '9', '10', '11']"
Vans Men's Retro Court Old Skool Multicolour Sneaker,060601ACTK2, R 899.95,Vans,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59117079.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59117079_01.jpg']]",Multicolour,"['6', '7', '8', '9', '10', '11']"
Puma Men's Court Rider White Sneaker,060601ADAA1," R 2,399.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59212262.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59212262_01.jpg']]",White,"['3', '4', '5', '6', '7', '8']"
