name,product_id,price,brand,age,images,color,shoes sizes
Authentic - (tartan daze) multi/acid dye,686939,999.00,Vans,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2243925/original.jpg', 'http://assets.superbalistcdn.co.za/2243925/original.jpg']",(tartan daze) multi/acid dye,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Nizza platform - core black/ftwr white,676099,1399.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2245787/original.jpg', 'http://assets.superbalistcdn.co.za/2245787/original.jpg']",Core black/ftwr white/ftwr white,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Stan Smith - ftwr white/gold met.,676103,1699.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2223618/original.jpg', 'http://assets.superbalistcdn.co.za/2223618/original.jpg']",ftwr white/ftwr white/gold met,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Sk8-hi - (tartan daze) multi/acid dye,686941,1399.00,Vans,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2244877/original.jpg', 'http://assets.superbalistcdn.co.za/2244877/original.jpg']",(tartan daze) multi/acid dye,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Court Tourino - core black/ftwr white,676106,1699.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2223636/original.jpg', 'http://assets.superbalistcdn.co.za/2223636/original.jpg']",Core black/core black/ftwr white,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Jada - puma white-puma white-puma silver-eggshell blue,715761,1199.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2243949/original.jpg', 'http://assets.superbalistcdn.co.za/2243949/original.jpg']",puma white-puma white-puma silver-eggshell blue,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Old skool zip - (tartan daze) multi/acid dye,686940,1299.00,Vans,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2243914/original.jpg', 'http://assets.superbalistcdn.co.za/2243914/original.jpg']",(tartan daze) multi/acid dye,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Club c 85 - white/alabas/chalk,740791,1099.00,Reebok,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2243497/original.jpg', 'http://assets.superbalistcdn.co.za/2243497/original.jpg']",White/Alabas/Chalk,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Cl lthr - white/white/white,570488,1299.00,Reebok,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2197792/original.jpg', 'http://assets.superbalistcdn.co.za/2197792/original.jpg']",White/White/White,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Freestyle hi Wonder Woman - shady grey / shady grey / fearless purple,740788,1799.00,Reebok,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2242850/original.jpg', 'http://assets.superbalistcdn.co.za/2242850/original.jpg']","Shady grey, Shady Grey & Fearless Purple","['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Cl legacy - white/trgry1/skugry,740795,1399.00,Reebok,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2198462/original.jpg', 'http://assets.superbalistcdn.co.za/2198462/original.jpg']",White/Trgry1/Skugry,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
Suede triplex - suede triplex - 38117508 - rosewater-peony-puma white,715756,1599.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2241501/original.jpg', 'http://assets.superbalistcdn.co.za/2241501/original.jpg']",Rosewater-peony-puma white,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Calow basic q2 - combat,670413,2199.00,G-Star RAW,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2221168/original.jpg', 'http://assets.superbalistcdn.co.za/2221168/original.jpg']",Combat,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Calow basic q2 - white,670411,2199.00,G-Star RAW,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2241682/original.jpg', 'http://assets.superbalistcdn.co.za/2241682/original.jpg']",White,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Cl legacy - alabas/chalk/lasred,740806,1399.00,Reebok,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2198505/original.jpg', 'http://assets.superbalistcdn.co.za/2198505/original.jpg']",alabas/chalk/lasred,"['UK 3', 'UK 4', 'UK 5', 'UK 6']"
Calow basic q2 - delta blue,670412,2199.00,G-Star RAW,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2221139/original.jpg', 'http://assets.superbalistcdn.co.za/2221139/original.jpg']",Delta blue,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Classic Slip-On x Spongebob - alohabob,687009,1199.00,Vans,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2240356/original.jpg', 'http://assets.superbalistcdn.co.za/2240356/original.jpg']",Alohabob,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
Era x Spongebob - best friends,687010,1299.00,Vans,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2240425/original.jpg', 'http://assets.superbalistcdn.co.za/2240425/original.jpg']",Best Friends,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
SK8-Hi x Spongebob - imaginaaation,687012,1699.00,Vans,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2240324/original.jpg', 'http://assets.superbalistcdn.co.za/2240324/original.jpg']",Imaginaaation,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
Authentic x SpongeBob - airbrush,687008,1099.00,Vans,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2240285/original.jpg', 'http://assets.superbalistcdn.co.za/2240285/original.jpg']",Airbrush,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
2790 cotlettering - white,690535,1199.00,SUPERGA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2240775/original.jpg', 'http://assets.superbalistcdn.co.za/2240775/original.jpg']",White,"['UK 2.5', 'UK 3.5', 'UK 4', 'UK 5', 'UK 5.5', 'UK 6', 'UK 6.5', 'UK 7', 'UK 8']"
