name,product_id,price,brand,age,images,color,shoes sizes
Air Fear Of God 1 Light Bone 2019 Men,4482883715168,22999,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/69_db574109-b48d-4be4-b366-0e3fce83de7f.jpg?v=1595041092', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/70_9fe8253e-8008-461a-b23f-e6b03ccfc428.jpg?v=1595041092', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/71_01071c74-5b83-40d8-a920-5e71099ad15e.jpg?v=1595041092', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/72_1587bc93-501d-4d96-a71a-fa8a94fed9b3.jpg?v=1595041092']",none,['Uk 8.5']
adidas Ultra Boost OG Beyonce Ivy Park Hi Res Yellow,6967816650901,3299,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/tergsrsgrgesf_tprf21.jpg?v=1625758619', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/kiehruuyierg_fdhcaz.jpg?v=1625759640']",none,['Uk 7']
Jordan 6 Retro Gold Hoops (W),6967733715093,5999,Jordan,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/jmyfjytuf_tl3ypq.jpg?v=1625753688', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/fgxbxdbf_zmwv2a.jpg?v=1625759528']",none,"['Uk 6', 'Uk 7', 'Uk 8']"
Converse Chuck Taylor All-Star 2-in-1 70s Hi Feng Chen Wang Ivory Black,6075476705429,2999,Converse,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/gsddsggsdd_qtb2uc.jpg?v=1604909580', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/hdffhfdfd_zoc19r.jpg?v=1604909580', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/fddddass_qjifjv.jpg?v=1604909580']",none,['Uk 11']
Air Jordan 11 Retro 'Legend Blue' (2014),4290890629216,5999,Jordan,MEN,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/45_303ccda1-60d4-4d0b-85be-26d0fd81a166.jpg?v=1571682762', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/47_8c314b67-8123-4089-8163-a4ebe813da7c.jpg?v=1571915523', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/46_4b5280eb-8a1e-4940-a6f1-3a637d540eb9.jpg?v=1571915523', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/48_c9f0492f-70cd-4f6b-9e11-b9c84dad280b.jpg?v=1571682783']",WHITE/BLACK-LEGEND BLUE,"['Uk 10', 'Uk 13']"
Air Jordan 1 Retro High Off-White Chicago,4290890825824,59999,Jordan,MEN,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/Side_73f17ac0-d936-475a-a7a7-acfa8b96eebf.png?v=1571502765', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/45_degree_5fe465ba-561e-42ee-9f9c-5c51e6345399.png?v=1571502765', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/45_degree_back_ed8379b4-65b3-44a6-a5cc-7c6a22e10e67.png?v=1571502765', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/Botton_8112d169-0273-4c19-85e4-e5fc1b274010.jpg?v=1571920626']",WHITE/BLACK-VARSITY RED,['Uk 9']
Jordan 1 Low Astrograbber,5764035182741,3999,Jordan,MEN,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/low1_i4siph.jpg?v=1600946309', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/b1_jp7qv5.jpg?v=1611137085', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/b3_whgei0.jpg?v=1611137098', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/b2_rbrs6z.jpg?v=1611137098']",WHITE/BLACK-SAIL,['Uk 13']
Under Armour HOVR Summit Urban TXT,6952034893973,2199,Under Armour,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/ua_rd707k.jpg?v=1625047554', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/khjdrbghkrfhesrg_rz7raf.jpg?v=1625669282']",none,['Uk 10']
Nike Air Max 90 Denim Cork SE,6952269381781,3999,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/am90cork_hcyqzd.jpg?v=1625735080', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/hdrdghhtrd_jvykyz.jpg?v=1625735080', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/Nike-Air-Max-90-Cork-Obsidian-DD0384-100-Release-Date-9.jpg?v=1625735080']",none,['Uk 6']
Nike Air Max 720 Cosmic Fuchsia,6952333541525,1699,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/720-pink_kftqss.jpg?v=1625054219', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/nxfgfxjgxfgn_fixthr.jpg?v=1625668670']",none,['Uk 6']
