name,Photo,about,degree,phone,email,address,specialization,yearofexperience,language,rating,clinicname,timings,onlinebooking,consultonline,linktoprofile
"Sanjivani Superspeciality Piles,Fissure,Fistula Hospital",//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Jasdan, Rajkot",MBBS,null,null,"Jasdan, Rajkot",Ayurveda,null,"eng,hindi",null,"Sanjivani Superspeciality Piles,Fissure,Fistula Hospital",null,https://www.practo.com/rajkot/hospital/sanjivani-hospital-17-jasdan?specialization=Ayurveda,https://www.practo.com/rajkot/hospital/sanjivani-hospital-17-jasdan?specialization=Ayurveda,https://www.practo.com/rajkot/hospital/sanjivani-hospital-17-jasdan?specialization=Ayurveda
Shri Sahjanand Ano-Rectol And Ksharsutra Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Rajkot Manahar Plot, Rajkot",MBBS,null,null,"Rajkot Manahar Plot, Rajkot",Ayurveda,null,"eng,hindi",null,Shri Sahjanand Ano-Rectol And Ksharsutra Hospital,null,https://www.practo.com/rajkot/hospital/shri-sahjanand-ano-rectol-and-ksharsutra-hospital-rajkot-bhomeshwar-plot?specialization=Ayurveda,https://www.practo.com/rajkot/hospital/shri-sahjanand-ano-rectol-and-ksharsutra-hospital-rajkot-bhomeshwar-plot?specialization=Ayurveda,https://www.practo.com/rajkot/hospital/shri-sahjanand-ano-rectol-and-ksharsutra-hospital-rajkot-bhomeshwar-plot?specialization=Ayurveda
Shirdi Sai Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Kailash, Agra",MBBS,null,null,"Kailash, Agra",Ayurveda,null,"eng,hindi",null,Shirdi Sai Hospital,null,https://www.practo.com/agra/hospital/shirdi-sai-hospital-agra?specialization=Ayurveda,https://www.practo.com/agra/hospital/shirdi-sai-hospital-agra?specialization=Ayurveda,https://www.practo.com/agra/hospital/shirdi-sai-hospital-agra?specialization=Ayurveda
Japnaam Kratkar Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Sikandra, Agra",MBBS,null,null,"Sikandra, Agra",Ayurveda,null,"eng,hindi",null,Japnaam Kratkar Hospital,null,https://www.practo.com/agra/hospital/japnaam-kratkar-hospital-sikandra?specialization=Ayurveda,https://www.practo.com/agra/hospital/japnaam-kratkar-hospital-sikandra?specialization=Ayurveda,https://www.practo.com/agra/hospital/japnaam-kratkar-hospital-sikandra?specialization=Ayurveda
Acharya Manish Ji Ayurveda Centre,https://images1-fabric.practo.com/practices/1246573/acharya-manish-ji-ayurveda-centre-agra-5f0ea30db1b61.jpg,"Khandari, Agra",MBBS,null,null,"Khandari, Agra",Ayurveda,null,"eng,hindi",null,Acharya Manish Ji Ayurveda Centre,null,https://www.practo.com/agra/clinic/acharya-manish-ji-ayurveda-centre-khandari?specialization=Ayurveda,https://www.practo.com/agra/clinic/acharya-manish-ji-ayurveda-centre-khandari?specialization=Ayurveda,https://www.practo.com/agra/clinic/acharya-manish-ji-ayurveda-centre-khandari?specialization=Ayurveda
Madhavbaug Clinic,https://images1-fabric.practo.com/practices/1149185/madhavbaug-clinic-indore-5bbc8ae824e8e.PNG,"Bengali Square, Indore",MBBS,null,null,"Bengali Square, Indore",Ayurveda,null,"eng,hindi",null,Madhavbaug Clinic,null,https://www.practo.com/indore/clinic/madhavbaug-clinic-bangali-square?specialization=Ayurveda,https://www.practo.com/indore/clinic/madhavbaug-clinic-bangali-square?specialization=Ayurveda,https://www.practo.com/indore/clinic/madhavbaug-clinic-bangali-square?specialization=Ayurveda
MadhavBaug,https://images1-fabric.practo.com/practices/1235906/madhavbaug-indore-5bfcef81e2ff7.PNG,"Rambagh, Indore",MBBS,null,null,"Rambagh, Indore",Ayurveda,null,"eng,hindi",null,MadhavBaug,null,https://www.practo.com/indore/clinic/madhavbaug-rambagh?specialization=Ayurveda,https://www.practo.com/indore/clinic/madhavbaug-rambagh?specialization=Ayurveda,https://www.practo.com/indore/clinic/madhavbaug-rambagh?specialization=Ayurveda
Acharya Manish Ji Ayurveda Centre,https://images1-fabric.practo.com/practices/1246075/acharya-manish-ji-ayurveda-centre-indore-5f0e8c36346c7.jpg,"Yashwant Nagar, Indore",MBBS,null,null,"Yashwant Nagar, Indore",Ayurveda,null,"eng,hindi",null,Acharya Manish Ji Ayurveda Centre,null,https://www.practo.com/indore/clinic/acharya-manish-ji-ayurveda-centre-yashwant-nagar?specialization=Ayurveda,https://www.practo.com/indore/clinic/acharya-manish-ji-ayurveda-centre-yashwant-nagar?specialization=Ayurveda,https://www.practo.com/indore/clinic/acharya-manish-ji-ayurveda-centre-yashwant-nagar?specialization=Ayurveda
Jiva Ayurveda,https://images1-fabric.practo.com/practices/1272606/jiva-ayurveda-indore-605d860822060.jpg,"Mhow College Of Combat, Indore",MBBS,null,null,"Mhow College Of Combat, Indore",Ayurveda,null,"eng,hindi",null,Jiva Ayurveda,null,https://www.practo.com/indore/clinic/jiva-ayurveda-mhow-college-of-combat?specialization=Ayurveda,https://www.practo.com/indore/clinic/jiva-ayurveda-mhow-college-of-combat?specialization=Ayurveda,https://www.practo.com/indore/clinic/jiva-ayurveda-mhow-college-of-combat?specialization=Ayurveda
Yashdeep Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Chiloda, Gandhinagar",MBBS,null,null,"Chiloda, Gandhinagar",Ayurveda,null,"eng,hindi",null,Yashdeep Hospital,null,https://www.practo.com/gandhinagar/hospital/yashdeep-multispesyality-hospital-chiloda?specialization=Ayurveda,https://www.practo.com/gandhinagar/hospital/yashdeep-multispesyality-hospital-chiloda?specialization=Ayurveda,https://www.practo.com/gandhinagar/hospital/yashdeep-multispesyality-hospital-chiloda?specialization=Ayurveda
 Centre For Holistic Medicine Ayurvedic Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"G Motors, Sector-11, Faridabad",MBBS,null,null,"G Motors, Sector-11, Faridabad",Ayurveda,null,"eng,hindi",null, Centre For Holistic Medicine Ayurvedic Hospital,null,https://www.practo.com/faridabad/hospital/centre-for-holistic-medicine-ayurvedic-hospital-g-motors-sector-11?specialization=Ayurveda,https://www.practo.com/faridabad/hospital/centre-for-holistic-medicine-ayurvedic-hospital-g-motors-sector-11?specialization=Ayurveda,https://www.practo.com/faridabad/hospital/centre-for-holistic-medicine-ayurvedic-hospital-g-motors-sector-11?specialization=Ayurveda
